"dataset","seed","fold","n_var","n_info_included","k_sel","acc","bal_acc","macro_prec","macro_rec","macro_f1","micro_f1","kappa","auc","logloss","brier"
"HighDim20",13,4,1,1,1,0.944444444444444,0.944444444444444,0.952380952380952,0.944444444444444,0.944055944055944,0.944444444444444,0.916666666666667,NA,1.91882091082837,0.111111111111111
"HighDim20",13,4,2,2,1,0.944444444444444,0.944444444444444,0.952380952380952,0.944444444444444,0.944055944055944,0.944444444444444,0.916666666666667,NA,1.91882091082837,0.111111111111111
"HighDim20",13,4,3,3,1,1,1,1,1,1,1,1,NA,0,0
"HighDim20",13,4,4,3,5,1,1,1,1,1,1,1,NA,0.0371905918857016,0.0133333333333333
"HighDim20",13,4,5,3,5,1,1,1,1,1,1,1,NA,0.0283792013203328,0.0177777777777778
"HighDim20",13,4,6,3,5,1,1,1,1,1,1,1,NA,0.0407760652822334,0.0222222222222222
"HighDim20",13,4,7,3,5,0.944444444444444,0.944444444444444,0.952380952380952,0.944444444444444,0.944055944055944,0.944444444444444,0.916666666666667,NA,0.0633019046215758,0.0355555555555556
"HighDim20",13,4,8,3,7,1,1,1,1,1,1,1,NA,0.0824733259388318,0.0294784580498866
"HighDim20",13,4,9,3,9,0.944444444444444,0.944444444444444,0.952380952380952,0.944444444444444,0.944055944055944,0.944444444444444,0.916666666666667,NA,0.166727029984898,0.0823045267489712
"HighDim20",13,4,10,3,3,1,1,1,1,1,1,1,NA,0.0450516786786849,0.0246913580246914
"HighDim20",13,4,11,3,11,0.888888888888889,0.888888888888889,0.916666666666667,0.888888888888889,0.885714285714286,0.888888888888889,0.833333333333333,NA,0.304767592316198,0.15702479338843
"HighDim20",13,4,12,3,9,0.944444444444444,0.944444444444444,0.952380952380952,0.944444444444444,0.944055944055944,0.944444444444444,0.916666666666667,NA,0.223720196669696,0.113854595336077
"HighDim20",13,4,13,3,5,0.944444444444444,0.944444444444444,0.952380952380952,0.944444444444444,0.944055944055944,0.944444444444444,0.916666666666667,NA,0.226406165750509,0.124444444444444
"HighDim20",13,4,14,3,11,0.944444444444444,0.944444444444444,0.952380952380952,0.944444444444444,0.944055944055944,0.944444444444444,0.916666666666667,NA,0.281469820292477,0.145087235996327
"HighDim20",13,4,15,3,3,0.777777777777778,0.777777777777778,0.841269841269841,0.777777777777778,0.741025641025641,0.777777777777778,0.666666666666667,NA,0.356765260845181,0.246913580246914
"HighDim20",13,4,16,3,11,0.944444444444444,0.944444444444444,0.952380952380952,0.944444444444444,0.944055944055944,0.944444444444444,0.916666666666667,NA,0.301153306947681,0.163452708907254
