"dataset","seed","fold","s","n_sel","p","k_sel","gamma_sel","bal_acc_knn","acc_knn","macro_f1_knn","bal_acc_kfda","acc_kfda","macro_f1_kfda"
"Epilepsy",4,3,1.73205080756888,3,3,1,1,0.878571428571429,0.875,0.873522167487685,0.911904761904762,0.910714285714286,0.905952380952381
"Epilepsy",4,4,1.02,2,3,1,0.25,0.851282051282051,0.851851851851852,0.841573971078977,0.892078754578755,0.888888888888889,0.889944984772571
"Epilepsy",4,4,1.10014939791998,2,3,1,0.5,0.816346153846154,0.814814814814815,0.811128526645768,0.947435897435897,0.944444444444444,0.944907161803713
"Epilepsy",4,4,1.18659676249382,3,3,1,0.125,0.88974358974359,0.888888888888889,0.886445096122515,0.928205128205128,0.925925925925926,0.926602564102564
"Epilepsy",4,4,1.27983697434448,3,3,1,1,0.925641025641026,0.925925925925926,0.92396698672996,0.925641025641026,0.925925925925926,0.927083333333333
"Epilepsy",4,4,1.3804038007459,3,3,1,1,0.925641025641026,0.925925925925926,0.922946859903382,0.925641025641026,0.925925925925926,0.927083333333333
"Epilepsy",4,4,1.48887295125201,3,3,1,1,0.942307692307692,0.944444444444444,0.940096018988025,0.944871794871795,0.944444444444444,0.945806451612903
"Epilepsy",4,4,1.60586537343063,3,3,1,1,0.923076923076923,0.925925925925926,0.919689685314685,0.922435897435897,0.925925925925926,0.926791958041958
"Epilepsy",4,4,1.73205080756888,3,3,3,0.5,0.922847985347985,0.925925925925926,0.922676224611708,0.882371794871795,0.888888888888889,0.890168067226891
"Epilepsy",4,5,1.02,2,3,1,0.25,0.943681318681319,0.943396226415094,0.942120051085568,0.823260073260073,0.830188679245283,0.828186628186628
"Epilepsy",4,5,1.10014939791998,3,3,1,0.125,0.943681318681319,0.943396226415094,0.942120051085568,0.884386446886447,0.886792452830189,0.883213859020311
"Epilepsy",4,5,1.18659676249382,3,3,1,0.125,0.982142857142857,0.981132075471698,0.981481481481482,0.921474358974359,0.924528301886792,0.920833333333333
"Epilepsy",4,5,1.27983697434448,3,3,1,0.125,0.980769230769231,0.981132075471698,0.98,0.921474358974359,0.924528301886792,0.922364422627396
"Epilepsy",4,5,1.3804038007459,3,3,3,0.125,0.922847985347985,0.924528301886792,0.925677627136253,0.940705128205128,0.943396226415094,0.941666666666667
"Epilepsy",4,5,1.48887295125201,3,3,3,1,0.959935897435897,0.962264150943396,0.962463768115942,0.919871794871795,0.924528301886792,0.922364422627396
"Epilepsy",4,5,1.60586537343063,3,3,3,0.125,0.939102564102564,0.943396226415094,0.943079178885631,0.885760073260073,0.886792452830189,0.885740740740741
"Epilepsy",4,5,1.73205080756888,3,3,1,0.25,0.979166666666667,0.981132075471698,0.980509745127436,0.8871336996337,0.886792452830189,0.888342420670007
"Epilepsy",5,1,1.02,2,3,1,2,0.844047619047619,0.839285714285714,0.835665024630542,0.709523809523809,0.714285714285714,0.711556513975869
"Epilepsy",5,1,1.10014939791998,3,3,1,1,0.839880952380952,0.839285714285714,0.834474548440066,0.820238095238095,0.821428571428571,0.82118700265252
"Epilepsy",5,1,1.18659676249382,3,3,1,2,0.819047619047619,0.821428571428571,0.816241914884852,0.821428571428571,0.821428571428571,0.825845141945156
"Epilepsy",5,1,1.27983697434448,3,3,1,2,0.835714285714286,0.839285714285714,0.832932692307692,0.876785714285714,0.875,0.880509745127436
"Epilepsy",5,1,1.3804038007459,3,3,1,1,0.853571428571429,0.857142857142857,0.851985111662531,0.855952380952381,0.857142857142857,0.859555713214821
"Epilepsy",5,1,1.48887295125201,3,3,3,1,0.891071428571429,0.892857142857143,0.887344913151365,0.894642857142857,0.892857142857143,0.894642857142857
"Epilepsy",5,1,1.60586537343063,3,3,3,0.125,0.926785714285714,0.928571428571429,0.927195340501792,0.875595238095238,0.875,0.877374680715198
"Epilepsy",5,1,1.73205080756888,3,3,1,1,0.923809523809524,0.928571428571429,0.925340613103586,0.932142857142857,0.928571428571429,0.930188834154351
"Epilepsy",5,2,1.02,2,3,1,0.25,0.820833333333333,0.821428571428571,0.80944683908046,0.7875,0.785714285714286,0.776956391875747
